Date,Open,High,Low,Close,Adj Close,Volume
6/29/2022,22125.60938,22289.07031,21844.05078,21996.89063,21996.89063,2834486800
6/30/2022,21917.44922,22111.91016,21719.16992,21859.78906,21859.78906,2822730100
7/4/2022,21690.67969,21886.34961,21458.63086,21830.34961,21830.34961,2203708000
7/5/2022,22053.16016,22198.50977,21799.18945,21853.07031,21853.07031,2143810000
7/6/2022,21777.64063,21833.40039,21286.66016,21586.66016,21586.66016,2886434300
7/7/2022,21352.69922,21643.58008,21200.92969,21643.58008,21643.58008,1744594800
7/8/2022,21961.75,21961.75,21614.65039,21725.7793,21725.7793,1565420200
7/11/2022,21470.76953,21470.76953,21001.63086,21124.19922,21124.19922,1693929400
7/12/2022,20905.07031,21084.08984,20779.58984,20844.74023,20844.74023,1745240700
7/13/2022,20911.5293,21040.33984,20751.48047,20797.94922,20797.94922,2056959300
7/14/2022,20818.26953,20888.80078,20554.15039,20751.21094,20751.21094,2371204800
7/15/2022,20522.10938,20656.96094,20215.9707,20297.7207,20297.7207,2526023900
7/18/2022,20479.58008,20866.33008,20294.14063,20846.17969,20846.17969,2053608500
7/19/2022,20719.19922,20758.71094,20549.43945,20661.06055,20661.06055,1287501200
7/20/2022,20968.41992,21111.7793,20884.91992,20890.2207,20890.2207,1405277200
7/21/2022,20811.59961,20827.60938,20527.34961,20574.63086,20574.63086,1760411700
7/22/2022,20717.4707,20788.46094,20513.80078,20609.14063,20609.14063,1327660200
7/25/2022,20516.33984,20595.08984,20353.67969,20562.93945,20562.93945,1377192600
7/26/2022,20676.67969,20952.44922,20631.82031,20905.88086,20905.88086,1701166300
7/27/2022,20684.48047,20770.09961,20572.41992,20670.03906,20670.03906,1729858600
7/28/2022,20705.46094,20772.63086,20533.41992,20622.67969,20622.67969,1965166200
7/29/2022,20647.44922,20647.44922,20050.05078,20156.50977,20156.50977,2181726400
8/1/2022,20026.59961,20251.42969,19883.91992,20165.83984,20165.83984,1970707400
8/2/2022,19943.16016,19943.16016,19515.53906,19689.21094,19689.21094,2291211500
8/3/2022,19865.68945,19921.91016,19685.48047,19767.08984,19767.08984,1789743100
8/4/2022,20011.25,20216.58008,19995.46094,20174.03906,20174.03906,1924409500
8/5/2022,20283.58984,20283.58984,20096.53906,20201.93945,20201.93945,1635424000
8/8/2022,20065.34961,20171.89063,19954.03906,20045.76953,20045.76953,1376942200
8/9/2022,20039.30078,20250.86914,19856.23047,20003.43945,20003.43945,1497207600
8/10/2022,19956.50977,19956.50977,19469.10938,19610.83984,19610.83984,1730318000
8/11/2022,19840.57031,20082.42969,19789.96094,20082.42969,20082.42969,1600822900
8/12/2022,20158.28906,20208.01953,20011.38086,20175.61914,20175.61914,1567854600
8/15/2022,20038.48047,20260.66016,19984.03906,20040.85938,20040.85938,1393358500
8/16/2022,20107.14063,20173.40039,19662.60938,19830.51953,19830.51953,1947792800
8/17/2022,19995.76953,20069.84961,19800.58008,19922.44922,19922.44922,1411797700
8/18/2022,19991.93945,19991.93945,19675.46094,19763.91016,19763.91016,1586624700
8/19/2022,19656.80078,19898.17969,19656.80078,19773.0293,19773.0293,1399802300
8/22/2022,19572.41992,19825.92969,19564.18945,19656.98047,19656.98047,1596111900
8/23/2022,19644.23047,19701.55078,19377.08984,19503.25,19503.25,1847479400
8/24/2022,19542.24023,19542.24023,19189.53906,19268.74023,19268.74023,1997568500
8/25/2022,19418.46094,19990.31055,19418.46094,19968.38086,19968.38086,1684299400
8/26/2022,20138.68945,20185.15039,20050.9707,20170.03906,20170.03906,1868937800
8/29/2022,19960.28906,20073.93945,19889.66992,20023.2207,20023.2207,1595204700
8/30/2022,20062.73047,20062.73047,19645.57031,19949.0293,19949.0293,1658925400
8/31/2022,19589.84961,20173.01953,19564.83984,19954.39063,19954.39063,2783305100
9/1/2022,19761.7207,19839.50977,19532.85938,19597.31055,19597.31055,2000258900
9/2/2022,19572.4707,19630.80078,19342.49023,19452.08984,19452.08984,2095560800
9/5/2022,19299.08984,19299.08984,19064.78906,19225.69922,19225.69922,2181084500
9/6/2022,19261.69922,19358.01953,19107.59961,19202.73047,19202.73047,1716319000
9/7/2022,18915.86914,19068.90039,18818.7793,19044.30078,19044.30078,1839592500
